points_5,points_4,points_3,points_2,points_1
Yellow-eyed penguin,Rockhopper Penguin,Bittern,Kākā,Morepork
Orange-fronted Parakeet,Blue Duck,Great Spotted Kiwi,Fernbird,Grey Warbler
Yellow-eyed penguin,NA,NA,NA,NA
Black Robin,Antipodean Albatross,Australasian Crested Grebe,Bellbird,Saddleback
Yellow-eyed penguin,South Island Kōkako,New Zealand Dotterel,The Otago Shag,Southern Royal Albatross
Yellow-eyed penguin,Antipodean Albatross,Blue Duck,Chatham Island Mollymawk,Fairy Tern
Banded Dotterel,New Zealand Dotterel,Antipodean Albatross,Gibson's Albatross,Mōhua
Saddleback,Kōkako,Black-billed Gull,Blue Duck,Yellow-eyed penguin
Kākāpō,Morepork,Tūī,Kōkako,Bar-tailed Godwit
Rockhopper Penguin,Kākā,Kōkako,Morepork,Kākāpō
Black Stilt,Shore Plover,Black Petrel,Black Robin,Little Spotted Kiwi
Kea,Kererū,Rifleman,Silvereye,Morepork
Bellbird,Black Robin,Fantail,Kea,Kākāpō
Takahē,Kōkako,Kākā,New Zealand Falcon,Tūī
Mōhua,New Zealand Dotterel,Banded Dotterel,Yellow-eyed penguin,Black Stilt
Yellow-eyed penguin,Little Penguin,Kākā,Fantail,Weka
Kākā,Kākāpō,Fiordland Crested Penguin,Morepork,Southern Brown Kiwi
Yellow-eyed penguin,Blue Duck,Tūī,Fantail,NA
New Zealand Falcon,Royal Spoonbill,Rockhopper Penguin,Hutton's Shearwater,South Island Kōkako
Banded Dotterel,Black Stilt,Fairy Tern,Bar-tailed Godwit,Kākāpō
South Island Kōkako,Rockhopper Penguin,Antipodean Albatross,Black Stilt,Light-mantled Sooty Albatross
Fairy Tern,Gibson's Albatross,Rifleman,New Zealand Falcon,Barn Owl
Yellow-eyed penguin,Little Penguin,Whenua Hou Diving Petrel,Rockhopper Penguin,Gibson's Albatross
Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,Little Penguin,South Island Kōkako
Mōhua,Gibson's Albatross,New Zealand Falcon,Hutton's Shearwater,Fairy Tern
Yellow-eyed penguin,Fiordland Crested Penguin,Fairy Tern,Fantail,New Zealand Falcon
Kea,Black shag,Great Spotted Kiwi,Southern Brown Kiwi,Rockhopper Penguin
Australasian Crested Grebe,Bittern,Wrybill,South Island Kōkako,Royal Spoonbill
Mōhua,Rifleman,Saddleback,Kākā,South Island Kōkako
Yellow-eyed penguin,Little Penguin,Kōkako,Kākāpō,Rockhopper Penguin
Harrier,Barn Owl,NA,NA,NA
Antipodean Albatross,Black Robin,Orange-fronted Parakeet,New Zealand Dotterel,Australasian Crested Grebe
Black-billed Gull,Antipodean Albatross,Kākā,The Otago Shag,Yellow-eyed penguin
Hutton's Shearwater,Stitchbird,Saddleback,Banded Dotterel,Rifleman
Black Robin,Blue Duck,Kākā,Chatham Island Mollymawk,Black Stilt
Rifleman,Pūkeko,White-faced Heron,Whenua Hou Diving Petrel,Fantail
Grey Warbler,Stitchbird,Tomtit,Black Robin,Kingfisher
Fiordland Crested Penguin,Banded Dotterel,Barn Owl,Kākā,Kōkako
Yellow-eyed penguin,Tūī,Silvereye,Kākāpō,Blue Duck
Rockhopper Penguin,Antipodean Albatross,Black Robin,Banded Dotterel,Bittern
Yellow-eyed penguin,Southern Royal Albatross,Pūkeko,North Island Brown Kiwi,Bellbird
Antipodean Albatross,Australasian Crested Grebe,Banded Dotterel,Black Robin,Black Stilt
New Zealand Dotterel,Banded Dotterel,Yellow-eyed penguin,Black-billed Gull,Black Robin
Mōhua,Southern Brown Kiwi,Banded Dotterel,New Zealand Robin,Rifleman
Antipodean Albatross,Black Robin,Southern Brown Kiwi,Bittern,Gibson's Albatross
Mōhua,Kererū,Kākā,South Island Kōkako,Kākāpō
Kererū,Morepork,Kākā,Fantail,Tūī
Morepork,Black Robin,Fiordland Crested Penguin,New Zealand Falcon,Silvereye
Yellow-eyed penguin,Bellbird,Stitchbird,Blue Duck,Antipodean Albatross
Fantail,Southern Brown Kiwi,Tomtit,Kea,Pūkeko
Fantail,Bar-tailed Godwit,Antipodean Albatross,Kererū,Little Penguin
New Zealand Falcon,Rockhopper Penguin,Barn Owl,Stitchbird,Tūī
South Island Kōkako,Takahē,Tomtit,Grey Warbler,Stitchbird
Banded Dotterel,Barn Owl,Black Robin,Kererū,New Zealand Falcon
Kingfisher,Little Penguin,New Zealand Falcon,Black Robin,Orange-fronted Parakeet
Kea,Pūkeko,Yellow-eyed penguin,Morepork,Rifleman
Black-billed Gull,Yellow-eyed penguin,Chatham Island Oystercatcher,Kākāpō,The Otago Shag
Rifleman,Tomtit,Rock Wren,Banded Dotterel,Morepork
Barn Owl,Kingfisher,Morepork,Stitchbird,Tomtit
Banded Dotterel,Grey Warbler,Fantail,Saddleback,Morepork
Whenua Hou Diving Petrel,Banded Dotterel,Rock Wren,New Zealand Robin,Kākāpō
Pūkeko,Grey Duck,Rockhopper Penguin,Fiordland Crested Penguin,White Heron
Yellow-eyed penguin,Fairy Tern,Chatham Island Mollymawk,Blue Duck,Whenua Hou Diving Petrel
Welcome Swallow,Shore Plover,Shining Cuckoo,Kingfisher,Black-billed Gull
New Zealand Dotterel,Banded Dotterel,Black Robin,Rockhopper Penguin,Kākāpō
Kōkako,Fantail,Banded Dotterel,Black Robin,Blue Duck
Shore Plover,Kākā,Tomtit,Bittern,New Zealand Dotterel
Australasian Crested Grebe,Fantail,Rock Wren,Blue Duck,Kākāpō
Yellow-eyed penguin,Black Robin,NA,NA,NA
Shore Plover,Kākā,Yellow-eyed penguin,Wrybill,Rifleman
Yellow-eyed penguin,Southern Royal Albatross,Buller's Mollymawk,Black-billed Gull,Antipodean Albatross
Northern Royal Albatross,Kākā,Kōkako,Black Stilt,Black Robin
Yellow-eyed penguin,Royal Spoonbill,Kākā,Fantail,Takahē
Grey Warbler,Fairy Tern,Little Penguin,Southern Royal Albatross,Kākā
Little Penguin,Morepork,New Zealand Falcon,Silvereye,Welcome Swallow
Kākāpō,Takahē,Bittern,Black Robin,Black Stilt
Blue Duck,Tomtit,Bittern,Banded Dotterel,Australasian Crested Grebe
Bittern,Blue Duck,Fernbird,Kōkako,Morepork
Orange-fronted Parakeet,NA,NA,NA,NA
Yellow-eyed penguin,Banded Dotterel,Blue Duck,Kākāpō,NA
Morepork,New Zealand Dotterel,North Island Brown Kiwi,Bellbird,Tomtit
Silvereye,Morepork,Kererū,Harrier,Kingfisher
Antipodean Albatross,Hutton's Shearwater,Banded Dotterel,Blue Duck,The Otago Shag
Kākā,Yellow-eyed penguin,Blue Duck,Black Robin,Harrier
Little Spotted Kiwi,Rockhopper Penguin,Yellow-eyed penguin,Wrybill,Tūī
Kererū,Kākā,Blue Duck,Kākāpō,Kea
Kākāpō,Tūī,New Zealand Falcon,Great Spotted Kiwi,Antipodean Albatross
Gibson's Albatross,Kea,Little Spotted Kiwi,Antipodean Albatross,Yellow-eyed penguin
Fantail,Banded Dotterel,Tūī,Little Spotted Kiwi,The Otago Shag
Tūī,Black Robin,Stitchbird,New Zealand Falcon,Rockhopper Penguin
New Zealand Dabchick,Grey Warbler,Fantail,Australasian Crested Grebe,New Zealand Robin
Yellow-eyed penguin,NA,NA,NA,NA
Tūī,Fantail,Bellbird,Southern Royal Albatross,Silvereye
Yellow-eyed penguin,Antipodean Albatross,Tūī,Southern Brown Kiwi,Kākāpō
Silvereye,Welcome Swallow,White Heron,Kingfisher,Shining Cuckoo
Fantail,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Orange-fronted Parakeet,Morepork,Rifleman,Mōhua,Yellow-eyed penguin
Kea,Kākā,Morepork,New Zealand Falcon,The Otago Shag
Kea,Light-mantled Sooty Albatross,Great Spotted Kiwi,White-faced Heron,Gibson's Albatross
New Zealand Dotterel,Mōhua,Kākāpō,Wrybill,Yellow-eyed penguin
Yellow-eyed penguin,Rock Wren,Black Robin,Fernbird,Morepork
Banded Dotterel,Kea,Yellow-eyed penguin,New Zealand Falcon,Gibson's Albatross
Yellow-eyed penguin,Little Penguin,Northern Royal Albatross,Salvin's Mollymawk,Gibson's Albatross
Banded Dotterel,Grey Duck,Black Robin,Orange-fronted Parakeet,New Zealand Dotterel
Yellow-eyed penguin,Little Penguin,Morepork,Tūī,Fantail
Kingfisher,Orange-fronted Parakeet,Silvereye,Grey Warbler,Yellow-eyed penguin
Kingfisher,Grey Warbler,Takahē,Blue Duck,South Island Pied Oystercatcher
Banded Dotterel,Kererū,NA,NA,NA
Australasian Crested Grebe,Fiordland Crested Penguin,Kingfisher,Rockhopper Penguin,South Island Kōkako
Fantail,New Zealand Dotterel,Orange-fronted Parakeet,Black Robin,NA
Yellow-eyed penguin,Whenua Hou Diving Petrel,Blue Duck,Buller's Mollymawk,Kākā
Yellow-eyed penguin,Kea,NA,NA,NA
Kingfisher,Saddleback,South Island Kōkako,Black Robin,Southern Royal Albatross
Kākāpō,Orange-fronted Parakeet,Black Robin,Blue Duck,Kererū
Yellow-eyed penguin,Kākāpō,Kākā,Whenua Hou Diving Petrel,Little Penguin
Yellow-eyed penguin,Black Robin,Fiordland Crested Penguin,Kākāpō,Orange-fronted Parakeet
Kōkako,Black Petrel,Bittern,Brown Teal,Grey Warbler
Fantail,Kōkako,Tūī,Stitchbird,Silvereye
Orange-fronted Parakeet,Kererū,Chatham Island Mollymawk,Fantail,Bellbird
Orange-fronted Parakeet,Yellow-eyed penguin,Mōhua,Black Robin,Blue Duck
Bar-tailed Godwit,Bellbird,Bittern,Black Stilt,Spotless Crake
New Zealand Dotterel,Stitchbird,Tūī,Rockhopper Penguin,Yellow-eyed penguin
Kōkako,Welcome Swallow,Bellbird,Stitchbird,Fantail
Morepork,Barn Owl,Fantail,Great Spotted Kiwi,Kea
Yellow-eyed penguin,New Zealand Falcon,Kākā,Great Spotted Kiwi,Black Robin
Kākāpō,New Zealand Falcon,Black Robin,Tūī,Fantail
Black-fronted Tern,Rock Wren,South Island Kōkako,Blue Duck,Buller's Mollymawk
Kea,Hutton's Shearwater,Kākā,Little Penguin,Banded Dotterel
Australasian Crested Grebe,Black Robin,Black-fronted Tern,Great Spotted Kiwi,Kōkako
Fantail,Tomtit,Silvereye,Kākā,Kingfisher
Fairy Tern,Antipodean Albatross,Kākāpō,Banded Dotterel,Black-billed Gull
Orange-fronted Parakeet,Yellow-eyed penguin,Black Robin,Kākā,Tūī
Black-billed Gull,Black Robin,Blue Duck,New Zealand Falcon,Takahē
Banded Dotterel,Kōkako,Kākā,Yellow-eyed penguin,Whenua Hou Diving Petrel
Australasian Crested Grebe,Kererū,Morepork,Rockhopper Penguin,Rifleman
Banded Dotterel,Black Robin,Chatham Island Mollymawk,Antipodean Albatross,Barn Owl
Banded Dotterel,Chatham Island Oystercatcher,Shore Plover,Kererū,Australasian Gannet
Kōkako,Black-billed Gull,Blue Duck,Australasian Gannet,Saddleback
Takahē,Yellow-eyed penguin,Blue Duck,Black Robin,Saddleback
Rifleman,Fiordland Crested Penguin,New Zealand Robin,Weka,Kingfisher
Yellow-eyed penguin,Kākāpō,Rockhopper Penguin,Black-billed Gull,Orange-fronted Parakeet
Kingfisher,Morepork,Yellow-eyed penguin,Rifleman,Tūī
Bellbird,Kingfisher,Morepork,New Zealand Dotterel,Banded Dotterel
Takahē,Banded Dotterel,Yellow-eyed penguin,Fiordland Crested Penguin,Gibson's Albatross
Yellow-eyed penguin,Antipodean Albatross,Chatham Island Mollymawk,Kākāpō,Blue Duck
Blue Duck,Rockhopper Penguin,Bittern,Fairy Tern,Southern Brown Kiwi
Bar-tailed Godwit,Black-billed Gull,Kākā,Yellow-eyed penguin,Kea
Banded Dotterel,Great Spotted Kiwi,South Island Kōkako,New Zealand Dabchick,Black shag
Banded Dotterel,New Zealand Falcon,Black-fronted Tern,Shore Plover,Fantail
Variable Oystercatcher,Little Penguin,Bellbird,New Zealand Dotterel,Banded Dotterel
Saddleback,Harrier,Silvereye,Stitchbird,Weka
New Zealand Dotterel,New Zealand Robin,Bellbird,Grey Warbler,Rock Wren
Kōkako,Little Penguin,Orange-fronted Parakeet,Yellow-eyed penguin,Mōhua
Kākāpō,Yellow-eyed penguin,Whenua Hou Diving Petrel,Black Robin,Orange-fronted Parakeet
Australasian Crested Grebe,Banded Dotterel,Great Spotted Kiwi,Kea,Kingfisher
Kōkako,Bellbird,Kererū,Blue Duck,New Zealand Falcon
Yellow-eyed penguin,Banded Dotterel,Black Stilt,Bittern,Kōkako
Rockhopper Penguin,Kea,Chatham Island Mollymawk,Kingfisher,Rifleman
Mōhua,Southern Brown Kiwi,Kākāpō,Yellow-eyed penguin,Kākā
Yellow-eyed penguin,Banded Dotterel,Blue Duck,Kākā,Fairy Tern
Black-billed Gull,NA,NA,NA,NA
Little Penguin,Barn Owl,White Heron,Saddleback,NA
Kākā,South Island Kōkako,Kōkako,Antipodean Albatross,Kākāpō
Banded Dotterel,New Zealand Dotterel,Stitchbird,Southern Brown Kiwi,Mōhua
Kingfisher,NA,NA,NA,NA
Morepork,Kōkako,Kingfisher,Tūī,Fairy Tern
Fantail,Banded Dotterel,Kākāpō,Pūkeko,Silvereye
Fantail,Kererū,Black Robin,Rifleman,Stitchbird
Kākā,New Zealand Falcon,Yellow-eyed penguin,Salvin's Mollymawk,Banded Dotterel
Yellow-eyed penguin,Fairy Tern,Chatham Island Oystercatcher,Chatham Island Mollymawk,Kākāpō
Tūī,Tomtit,Little Penguin,Kererū,Australasian Crested Grebe
Black Robin,Kākā,Kea,Fantail,Yellow-eyed penguin
Australasian Gannet,Buller's Mollymawk,Chatham Island Mollymawk,Fantail,Kōkako
Takahē,NA,NA,NA,NA
Stitchbird,Tomtit,Orange-fronted Parakeet,Fiordland Crested Penguin,Rockhopper Penguin
Black Robin,Antipodean Albatross,Bittern,Fairy Tern,Kākā
Bar-tailed Godwit,Barn Owl,Kererū,Orange-fronted Parakeet,Grey Warbler
Bittern,Black Robin,Blue Duck,Fiordland Crested Penguin,Tomtit
Kea,New Zealand Falcon,Banded Dotterel,Tūī,Morepork
Kererū,Morepork,Kākāpō,Kea,Kākā
Yellow-eyed penguin,Grey Warbler,Chatham Island Mollymawk,New Zealand Dotterel,Blue Duck
Yellow-eyed penguin,Saddleback,Kākāpō,Black Robin,Chatham Island Oystercatcher
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Kākā,Shore Plover,Gibson's Albatross,Mōhua
Yellow-eyed penguin,Stitchbird,South Island Pied Oystercatcher,South Island Kōkako,Shore Plover
Fiordland Crested Penguin,Kea,Kākāpō,Kererū,Little Penguin
Fairy Tern,New Zealand Dotterel,NA,NA,NA
Yellow-eyed penguin,Fairy Tern,Chatham Island Oystercatcher,Chatham Island Mollymawk,Whenua Hou Diving Petrel
Antipodean Albatross,Black Robin,Hutton's Shearwater,Kākā,Yellow-eyed penguin
Black Stilt,Bittern,Bar-tailed Godwit,Banded Dotterel,Antipodean Albatross
Banded Dotterel,Antipodean Albatross,Blue Duck,Takahē,Yellow-eyed penguin
Fantail,Southern Brown Kiwi,Great Spotted Kiwi,New Zealand Falcon,Kea
Black-billed Gull,Banded Dotterel,New Zealand Dotterel,Fernbird,Australasian Crested Grebe
Black Robin,Kea,Fantail,Little Spotted Kiwi,New Zealand Falcon
Yellow-eyed penguin,NA,NA,NA,NA
Black Robin,Mōhua,Banded Dotterel,Fiordland Crested Penguin,Bittern
Antipodean Albatross,Gibson's Albatross,Southern Royal Albatross,Northern Royal Albatross,Fantail
Kererū,Barn Owl,Little Penguin,Welcome Swallow,North Island Brown Kiwi
Yellow-eyed penguin,Black Robin,Antipodean Albatross,Banded Dotterel,Bittern
New Zealand Dabchick,Antipodean Albatross,Bittern,Kākāpō,White-faced Heron
Yellow-eyed penguin,Kea,Fantail,Tūī,Great Spotted Kiwi
Bellbird,Grey Warbler,Shining Cuckoo,Silvereye,Kererū
Kākāpō,Kōkako,Kea,Kererū,Kākā
Harrier,Kea,Barn Owl,Kingfisher,New Zealand Falcon
Kākāpō,Takahē,South Island Kōkako,Kākā,Blue Duck
New Zealand Falcon,Silvereye,Little Penguin,Fiordland Crested Penguin,Barn Owl
Harrier,Kākā,South Island Pied Oystercatcher,Morepork,Whenua Hou Diving Petrel
Black Robin,Tūī,Rifleman,New Zealand King Shag,Stitchbird
Kākāpō,Gibson's Albatross,Kākā,Orange-fronted Parakeet,Mōhua
Harrier,Fantail,New Zealand Falcon,Barn Owl,Tūī
Rockhopper Penguin,Yellow-eyed penguin,Mōhua,Orange-fronted Parakeet,Stitchbird
Blue Duck,Barn Owl,NA,NA,NA
Kererū,Kingfisher,Silvereye,Orange-fronted Parakeet,Tūī
Morepork,Harrier,Rifleman,Silvereye,South Island Kōkako
New Zealand Dotterel,Little Penguin,Kea,NA,NA
Southern Brown Kiwi,New Zealand Robin,Morepork,Kererū,Kingfisher
Fantail,Yellow-eyed penguin,Antipodean Albatross,Southern Brown Kiwi,Takahē
Black-billed Gull,Banded Dotterel,Orange-fronted Parakeet,Black Robin,Black Stilt
South Island Kōkako,Bellbird,Banded Dotterel,Blue Duck,Little Penguin
Pūkeko,Royal Spoonbill,Takahē,Rockhopper Penguin,Kea
Rockhopper Penguin,Fernbird,Brown Teal,Morepork,Yellow-eyed penguin
Yellow-eyed penguin,South Island Kōkako,Mōhua,Gibson's Albatross,Southern Brown Kiwi
Yellow-eyed penguin,Chatham Island Mollymawk,Blue Duck,Kākāpō,Black-billed Gull
Yellow-eyed penguin,Little Penguin,Chatham Island Mollymawk,Black Robin,Fiordland Crested Penguin
Yellow-eyed penguin,Banded Dotterel,Rockhopper Penguin,Fiordland Crested Penguin,Wrybill
Tūī,Kākāpō,Blue Duck,Fantail,New Zealand Falcon
Yellow-eyed penguin,Australasian Crested Grebe,Black Robin,Buller's Mollymawk,Fantail
New Zealand Robin,Fantail,Stitchbird,Bar-tailed Godwit,Takahē
Kea,Black Robin,Southern Brown Kiwi,Kererū,Kākāpō
Fantail,Orange-fronted Parakeet,New Zealand Falcon,Mōhua,Black Robin
South Island Kōkako,Yellow-eyed penguin,Antipodean Albatross,Black Robin,Orange-fronted Parakeet
Mōhua,Banded Dotterel,Great Spotted Kiwi,Takahē,Shore Plover
South Island Kōkako,Little Spotted Kiwi,Kākā,Black-billed Gull,Black Robin
Yellow-eyed penguin,Chatham Island Mollymawk,Banded Dotterel,Fairy Tern,New Zealand Dotterel
Great Spotted Kiwi,Kākā,Kōkako,Weka,South Island Kōkako
New Zealand Dotterel,Rifleman,Yellow-eyed penguin,Shore Plover,Blue Duck
Rock Wren,Black-billed Gull,Shore Plover,South Island Kōkako,Fairy Tern
Little Penguin,New Zealand Falcon,Fantail,NA,NA
Bittern,Shore Plover,Whenua Hou Diving Petrel,Hutton's Shearwater,Black-billed Gull
Yellow-eyed penguin,Orange-fronted Parakeet,Whenua Hou Diving Petrel,Chatham Island Oystercatcher,New Zealand Falcon
Bittern,Yellow-eyed penguin,South Island Kōkako,Black Robin,Fantail
Yellow-eyed penguin,Pūkeko,Morepork,NA,NA
Royal Spoonbill,Antipodean Albatross,Saddleback,Kea,South Island Kōkako
Kākāpō,Morepork,New Zealand Falcon,Saddleback,Stitchbird
Banded Dotterel,Kingfisher,Chatham Island Oystercatcher,Fantail,Tūī
Kererū,Shining Cuckoo,Banded Dotterel,Kākāpō,Kea
Fairy Tern,Kererū,Fantail,Little Penguin,Chatham Island Oystercatcher
Yellow-eyed penguin,Hutton's Shearwater,Tūī,Gibson's Albatross,Orange-fronted Parakeet
Yellow-eyed penguin,Shore Plover,Southern Brown Kiwi,Black Robin,Kākāpō
New Zealand Falcon,Shining Cuckoo,Little Penguin,South Island Kōkako,Fernbird
Yellow-eyed penguin,Banded Dotterel,Antipodean Albatross,New Zealand Falcon,Fantail
Antipodean Albatross,Fiordland Crested Penguin,Kea,Kererū,Morepork
Antipodean Albatross,Mōhua,New Zealand Dotterel,Chatham Island Oystercatcher,Chatham Island Mollymawk
Yellow-eyed penguin,Chatham Island Oystercatcher,Saddleback,Rockhopper Penguin,Rifleman
Blue Duck,Kākāpō,Little Spotted Kiwi,South Island Kōkako,Banded Dotterel
Antipodean Albatross,Rockhopper Penguin,Fiordland Crested Penguin,New Zealand Falcon,Kea
Kākāpō,Kākā,Blue Duck,Chatham Island Mollymawk,Chatham Island Oystercatcher
Saddleback,South Island Kōkako,Bellbird,Tūī,Pūkeko
Saddleback,Shining Cuckoo,Stitchbird,Tūī,Gibson's Albatross
Morepork,Kererū,Tūī,Pūkeko,New Zealand Dabchick
New Zealand Falcon,Bellbird,Little Penguin,Kererū,Tūī
Morepork,New Zealand Falcon,Black Robin,South Island Kōkako,Southern Brown Kiwi
Stitchbird,Tomtit,Fantail,Fiordland Crested Penguin,Rockhopper Penguin
Yellow-eyed penguin,Morepork,Blue Duck,Fairy Tern,Bellbird
Harrier,New Zealand Falcon,Pūkeko,Kingfisher,Morepork
Grey Duck,South Island Pied Oystercatcher,Scaup,Brown Teal,Blue Duck
Morepork,Mōhua,New Zealand Falcon,Orange-fronted Parakeet,Rock Wren
Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Yellow-eyed penguin,Banded Dotterel
Grey Warbler,Stitchbird,Kingfisher,Rock Wren,Blue Duck
Kākāpō,Tūī,Orange-fronted Parakeet,Stitchbird,Bellbird
Kākāpō,Little Spotted Kiwi,New Zealand Falcon,Yellow-eyed penguin,Chatham Island Mollymawk
Kākāpō,Little Penguin,Silvereye,Tūī,Pūkeko
Banded Dotterel,Bellbird,Black Robin,Grey Warbler,Morepork
Morepork,Black Robin,New Zealand Dotterel,Banded Dotterel,Kākā
Tūī,Kōkako,Silvereye,NA,NA
Black Robin,Kōkako,Orange-fronted Parakeet,Southern Brown Kiwi,Antipodean Albatross
Bellbird,Black Robin,Blue Duck,Fantail,Black Stilt
Black Stilt,Black-billed Gull,Mōhua,Rifleman,New Zealand Robin
Blue Duck,Kererū,Kākāpō,Kōkako,Little Spotted Kiwi
Kingfisher,Little Penguin,Fiordland Crested Penguin,Arctic Skua,Chatham Island Oystercatcher
Black Robin,Gibson's Albatross,Kākā,Little Spotted Kiwi,Yellow-eyed penguin
Morepork,Fairy Tern,Silvereye,Rockhopper Penguin,Welcome Swallow
Yellow-eyed penguin,Southern Royal Albatross,Northern Royal Albatross,Kea,Kākāpō
Harrier,Morepork,Bellbird,Silvereye,Fantail
Little Spotted Kiwi,Southern Brown Kiwi,Yellow-eyed penguin,Blue Duck,Black Robin
Harrier,Bellbird,Fantail,Banded Dotterel,Blue Duck
Kea,Kererū,Little Spotted Kiwi,Tūī,Kākāpō
Kākā,Morepork,NA,NA,NA
Yellow-eyed penguin,Mōhua,Kākā,Orange-fronted Parakeet,Weka
Royal Spoonbill,Yellow-eyed penguin,Fiordland Crested Penguin,Little Penguin,Rockhopper Penguin
Harrier,NA,NA,NA,NA
Kererū,Fantail,North Island Brown Kiwi,Blue Duck,Fairy Tern
Harrier,South Island Pied Oystercatcher,New Zealand Falcon,Fantail,Pūkeko
Rifleman,Morepork,Little Penguin,Antipodean Albatross,Spotless Crake
Kōkako,Spotless Crake,Yellow-eyed penguin,Little Spotted Kiwi,Chatham Island Oystercatcher
Orange-fronted Parakeet,Bittern,Yellow-eyed penguin,Black-billed Gull,Fairy Tern
Banded Dotterel,New Zealand Dotterel,Southern Brown Kiwi,Black Robin,Kea
Bittern,Mōhua,Orange-fronted Parakeet,Chatham Island Oystercatcher,Rockhopper Penguin
Rock Wren,Rifleman,South Island Kōkako,New Zealand Robin,Mōhua
Banded Dotterel,Antipodean Albatross,Gibson's Albatross,Fernbird,Mōhua
Kākāpō,Kōkako,Saddleback,New Zealand Robin,Takahē
Antipodean Albatross,Bittern,Orange-fronted Parakeet,Kingfisher,Kākā
Black Robin,Antipodean Albatross,Black Stilt,Yellow-eyed penguin,Whenua Hou Diving Petrel
Black-billed Gull,South Island Kōkako,Orange-fronted Parakeet,Banded Dotterel,Takahē
Fantail,New Zealand Dabchick,Rockhopper Penguin,Kākā,Banded Dotterel
Fairy Tern,Chatham Island Oystercatcher,Black Robin,Banded Dotterel,Bittern
Banded Dotterel,Blue Duck,Brown Teal,Chatham Island Mollymawk,New Zealand Dotterel
Fantail,Chatham Island Oystercatcher,Australasian Gannet,Tūī,Bellbird
Fiordland Crested Penguin,Rock Wren,NA,NA,NA
Yellow-eyed penguin,Kākāpō,Banded Dotterel,Black Robin,North Island Brown Kiwi
